feature,lasso_abs,ridge_abs,enet_abs,lasso_signed
Condition2_Norm,0.0,0.007290983807443059,0.0,0.0
BldgType_2fmCon,0.0,0.001179827899832473,0.0,-0.0
Condition1_RRAn,0.0,0.007697134462566809,0.0,0.0
Condition1_PosN,0.0,0.021158790903234012,0.0,0.0
Neighborhood_Timber,0.0,0.019555514823947275,0.0,-0.0
Neighborhood_Sawyer,0.0,0.007814007837353799,0.0,0.0
Condition1_Feedr,0.0,0.005507619765576868,0.0,-0.0
Condition1_PosA,0.0,0.0034586213153316144,0.0,-0.0
Neighborhood_SWISU,0.0,0.0038972530222681086,0.0,0.0
Neighborhood_Veenker,0.0,0.005851178326416519,0.0,0.0
Exterior2nd_Stone,0.0,0.003850123293678922,0.0,0.0
Exterior2nd_MetalSd,0.0,0.0036843755892038907,0.0,0.0
Exterior2nd_ImStucc,0.0,0.003066377204443343,0.0,0.0
Exterior2nd_CmentBd,0.0,0.008509108020885489,0.0,0.0
Exterior2nd_Brk Cmn,0.0,0.005677745145276066,0.0,-0.0
Exterior2nd_BrkFace,0.0,0.015296375832638737,0.0,-0.0
Exterior1st_WdShing,0.0,0.01007173066970377,0.0,0.0
Exterior2nd_AsbShng,0.0,0.0045468903346196285,0.0,-0.0
Exterior1st_Plywood,0.0,0.006960141558537622,0.0,-0.0
Exterior1st_Stucco,0.0,0.005765484355052041,0.0,0.0
Exterior1st_VinylSd,0.0,0.0018422472973043391,0.0,0.0
RoofMatl_Tar&Grv,0.0,0.012144802096283656,0.0,-0.0
RoofMatl_WdShngl,0.0,0.02137937859795328,0.0,0.0
Exterior1st_AsbShng,0.0,0.0033362222776628023,0.0,-0.0
Exterior1st_BrkComm,0.0,0.02521064114838121,0.0,-0.0
Exterior1st_CemntBd,0.0,2.1177231917270806e-05,0.0,0.0
HouseStyle_SFoyer,0.0,0.0024002416386136277,0.0,-0.0
Heating_GasW,0.0,0.022819948855486497,0.0,0.0
Heating_Grav,0.0,0.02359527004297606,0.0,-0.0
Heating_Wall,0.0,0.008809419191539916,0.0,0.0
Electrical_FuseP,0.0,0.0013631958419848367,0.0,0.0
Heating_GasA,0.0,0.004295391811826055,0.0,-0.0
Exterior2nd_Wd Shng,0.0,0.005796099972230767,0.0,-0.0
MasVnrType_BrkCmn,0.0,0.020652807972455785,0.0,-0.0
MasVnrType_None,0.0,0.006650856670880893,0.0,0.0
MasVnrType_BrkFace,0.0,0.004974710858037704,0.0,-0.0
Foundation_CBlock,0.0,0.0017874913109534596,0.0,-0.0
Foundation_Slab,0.0,0.011768638804093002,0.0,0.0
Foundation_Stone,0.0,0.012898380955466218,0.0,0.0
Foundation_Wood,0.0,0.021295035790930075,0.0,-0.0
Exterior2nd_VinylSd,0.0,4.878294336182337e-05,0.0,0.0
Exterior2nd_Stucco,0.0,0.004960090112704124,0.0,0.0
MiscFeature_Shed,0.0,0.016587123616404482,0.0,0.0
MiscFeature_None,0.0,0.003069992565631407,0.0,-0.0
